BONUSZ;ARBEVETEL;TJB;AKTIV_NAPOK;KAMPANY_HOSSZA;PONT_NAP;PONT_HONAP;RFM_SCORE_NO;KAMPANYAFFINITAS;TELJESITES
2000;18615;-12022;24;2;2;7,9183;7;0,6;1
5000;39257;29224;21;2;2;7,9183;9;0,75;1
10000;74050;63901;31;2;2;7,9183;10;0;0
20000;90680;108440;29;2;2;7,9183;10;0;0
2000;12750;34800;26;2;2;7,9183;7;0;0
20000;14747;15647;2;2;2;7,9183;8;0,545454545;0
5000;135381;14905;21;2;2;7,9183;7;0,833333333;1
20000;195812;305001;28;2;2;7,9183;10;0,266666667;1
20000;555974;104043;31;2;2;7,9183;10;0,6;1
5000;113364;22280;31;2;2;7,9183;9;0,5;1
2000;5169;75222;25;2;2;7,9183;6;0;1
20000;1492557;209669;31;2;2;7,9183;10;0,692307692;1
5000;59723;82995;21;2;2;7,9183;9;1;1
10000;145668;25680;22;2;2;7,9183;10;0;0
20000;5477897;735762;31;2;2;7,9183;10;1;1
20000;165390;131901;31;2;2;7,9183;9;1;0
20000;1936797;552397;20;2;2;7,9183;10;0,75;1
5000;146032;89921;25;2;2;7,9183;9;0,75;1
5000;22418;-319;17;2;2;7,9183;8;0,333333333;0
10000;81156;38444;20;2;2;7,9183;9;0,8;1
10000;1572469;-174998;12;2;2;7,9183;7;0;0
2000;12626;6707;30;2;2;7,9183;6;0;1
2000;11464;5;28;2;2;7,9183;7;1;1
5000;246808;51973;27;2;2;7,9183;5;0;0
20000;792000;594793;17;2;2;7,9183;9;0;0
10000;139870;162260;28;2;2;7,9183;10;0,8;0
10000;549594;105733;27;2;2;7,9183;8;0;0
20000;3518055;1559107;21;2;2;7,9183;6;0;1
10000;409081;49800;23;2;2;7,9183;8;0;0
20000;1293106;344000;30;2;2;7,9183;9;0;0
10000;51006;20126;31;2;2;7,9183;9;0;0
5000;23411;51234;23;2;2;7,9183;8;0,25;0
20000;1091318;179175;21;2;2;7,9183;9;0,666666667;1
5000;207234;-20152;25;2;2;7,9183;9;0,666666667;0
5000;1601900;121065;23;2;2;7,9183;8;0;0
5000;27980;-3203;12;2;2;7,9183;5;0;0
20000;225552;72931;7;2;2;7,9183;10;0,8;0
10000;1133837;-95829;27;2;2;7,9183;9;0,444444444;1
20000;6861475;-1698;18;2;2;7,9183;9;0,714285714;0
5000;151274;-216236;24;2;2;7,9183;8;1;1
5000;51450;30500;18;2;2;7,9183;8;0,571428571;0
20000;707037;274001;30;2;2;7,9183;10;0,833333333;1
20000;850619;556302;15;2;2;7,9183;10;0,222222222;0
10000;88910;44001;18;2;2;7,9183;10;0;0
10000;1057964;184402;31;2;2;7,9183;10;0,5;0
10000;16000;10468;30;2;2;7,9183;9;1;1
20000;306744;714001;12;2;2;7,9183;8;0,5;1
5000;1678689;-1919;11;2;2;7,9183;8;0,285714286;0
5000;320421;30245;10;2;2;7,9183;7;0;0
2000;24280;4281;10;2;2;7,9183;5;0;0
20000;370822;940644;27;2;2;7,9183;10;0,7;0
5000;315251;-20400;15;2;2;7,9183;5;0;1
2000;20000;34604;31;2;2;7,9183;4;0;1
10000;38322;38501;25;2;2;7,9183;7;0,333333333;0
20000;3338120;647008;9;2;2;7,9183;8;0;1
2000;119710;13601;28;2;2;7,9183;7;0;0
2000;15470;-4419;9;2;2;7,9183;5;0;0
2000;506205;831;25;2;2;7,9183;5;0;0
20000;861821;476867;13;2;2;7,9183;9;0;0
20000;1477463;2209220;25;2;2;7,9183;10;0,866666667;1
5000;15500;13833;20;2;2;7,9183;8;0,75;0
20000;0;665221;9;2;2;7,9183;7;1;0
5000;57356;1841;23;2;2;7,9183;8;0,2;0
5000;18500;-38065;30;2;2;7,9183;9;0,833333333;0
2000;51831;256;17;2;2;7,9183;5;0;0
2000;17750;14000;28;2;2;7,9183;8;1;1
5000;15180;21799;23;2;2;7,9183;6;0,333333333;1
20000;10749803;2535393;25;2;2;7,9183;9;0,25;0
2000;15457;5100;14;2;2;7,9183;6;0,5;0
2000;20118;12463;30;2;2;7,9183;7;0;0
2000;88890;-24683;26;2;2;7,9183;6;0;0
20000;332292;105882;30;2;2;7,9183;10;0,8;1
10000;170593;50561;18;2;2;7,9183;10;0,727272727;0
10000;124656;82502;31;2;2;7,9183;10;0;0
20000;3900363;227100;30;2;2;7,9183;8;0,214285714;0
10000;116874;14165;23;2;2;7,9183;10;0;0
5000;119588;24030;31;2;2;7,9183;6;1;1
2000;5020;5043;24;2;2;7,9183;8;0,666666667;0
2000;41380;22938;13;2;2;7,9183;5;0;0
2000;31464;185;19;2;2;7,9183;4;0;1
20000;300989;134092;27;2;2;7,9183;10;0,428571429;0
5000;88467;31199;26;2;2;7,9183;9;0,2;1
5000;60268;-783;30;2;2;7,9183;6;1;0
10000;97830;-3249;31;2;2;7,9183;10;0,571428571;0
2000;17875;2335;18;2;2;7,9183;5;0;0
5000;146000;5269;15;2;2;7,9183;6;0;0
2000;16132;1885;31;2;2;7,9183;6;0,666666667;0
10000;1881337;288900;25;2;2;7,9183;10;0,466666667;0
20000;3239964;1068485;24;2;2;7,9183;10;1;1
10000;487467;96451;16;2;2;7,9183;8;0;0
20000;311500;319027;13;2;2;7,9183;10;0,875;0
10000;287601;48015;28;2;2;7,9183;10;0,545454545;0
5000;733977;109025;27;2;2;7,9183;7;0,111111111;1
5000;69151;13827;30;2;2;7,9183;9;0,333333333;0
20000;899893;249088;28;2;2;7,9183;10;0,357142857;0
2000;15000;4888;27;2;2;7,9183;6;0;0
5000;122497;27303;22;2;2;7,9183;8;0,5;0
5000;447874;112669;31;2;2;7,9183;6;0,090909091;0
10000;116750;182500;24;2;2;7,9183;6;1;1
5000;71594;-25499;30;2;2;7,9183;8;0,555555556;0
20000;695921;-575923;13;2;2;7,9183;9;0,642857143;0
5000;907498;-11877;29;2;2;7,9183;6;0,666666667;0
5000;31439;20501;19;2;2;7,9183;9;0;0
10000;3147815;295116;31;2;2;7,9183;8;0,8;1
10000;149352;48990;10;2;2;7,9183;8;0,5;0
2000;9580;-3599;31;2;2;7,9183;7;0,5;0
5000;87862;21437;27;2;2;7,9183;8;0;1
20000;222800;146827;15;2;2;7,9183;9;0,571428571;1
2000;35800;2525;23;2;2;7,9183;6;0;0
2000;6600;-129;21;2;2;7,9183;7;0;0
2000;167339;8546;12;2;2;7,9183;2;0;0
5000;23837;-7500;23;2;2;7,9183;9;0;0
5000;14165;-3276;23;2;2;7,9183;7;0,25;0
2000;16600;-184;24;2;2;7,9183;7;0;0
2000;34344;4579;25;2;2;7,9183;6;0;0
5000;22002;12978;16;2;2;7,9183;8;0,2;0
5000;174100;31236;29;2;2;7,9183;8;0,111111111;0
2000;263410;-61190;11;2;2;7,9183;5;0;0
5000;6811844;18698;21;2;2;7,9183;8;1;1
10000;230768;76423;31;2;2;7,9183;9;0,166666667;1
20000;1493765;316045;31;2;2;7,9183;10;0,923076923;1
20000;1067264;176907;25;2;2;7,9183;9;0,6;1
20000;664923;578000;30;2;2;7,9183;9;0,5;0
5000;83997;59802;23;2;2;7,9183;6;0,75;1
5000;89560;36999;26;2;2;7,9183;7;0,333333333;0
5000;69297;55582;20;2;2;7,9183;7;0,333333333;0
2000;16352;2103;30;2;2;7,9183;7;1;0
2000;53903;33059;31;2;2;7,9183;7;0;0
20000;1927343;176475;25;2;2;7,9183;9;0,4;1
2000;21059;3966;21;2;2;7,9183;7;0,333333333;1
20000;0;644103;2;2;2;7,9183;9;0,25;0
5000;138167;20478;12;2;2;7,9183;6;0;0
2000;51790;-14224;24;2;2;7,9183;7;0;0
5000;46642;-3363;27;2;2;7,9183;7;0;0
5000;227387;209670;29;2;2;7,9183;6;0;1
2000;23810;126895;25;2;2;7,9183;5;0;0
5000;108425;-56586;28;2;2;7,9183;6;0;0
2000;61000;27117;29;2;2;7,9183;6;0;0
2000;34743;13603;24;2;2;7,9183;5;0;1
10000;246106;58027;31;2;2;7,9183;9;0;0
5000;51072;12248;27;2;2;7,9183;6;0,333333333;0
20000;229085;-50397;28;2;2;7,9183;10;0,625;1
20000;83785;168251;25;2;2;7,9183;10;0;0
20000;130725;89000;18;2;2;7,9183;10;0,538461538;0
2000;283039;52056;29;2;2;7,9183;7;0;1
5000;13593;9641;15;2;2;7,9183;7;0,2;0
10000;130750;-11084;25;2;2;7,9183;9;0,666666667;0
5000;21594915;-23886;19;2;2;7,9183;7;0;1
5000;73000;174807;28;2;2;7,9183;7;0;1
20000;1037775;53216;30;2;2;7,9183;10;0,2;0
20000;130652;-10892;26;2;2;7,9183;10;0,363636364;0
20000;1797019;341087;30;2;2;7,9183;10;0,846153846;0
10000;189080;76757;25;2;2;7,9183;10;0,230769231;0
10000;554230;-122299;26;2;2;7,9183;10;1;1
2000;5190;2372;21;2;2;7,9183;6;0,333333333;0
2000;11248;2248;22;2;2;7,9183;5;0;0
5000;198271;11623;29;2;2;7,9183;9;0,5;0
10000;205000;85438;25;2;2;7,9183;10;0,625;0
20000;215500;239701;18;2;2;7,9183;9;0,5;0
5000;16507;17599;29;2;2;7,9183;9;0,875;1
2000;4545;1354;30;2;2;7,9183;7;0;0
2000;15325;5191;29;2;2;7,9183;7;0,5;0
2000;14864;-2208;25;2;2;7,9183;6;0,333333333;0
5000;64799;1502;20;2;2;7,9183;5;0,666666667;0
5000;720012;100580;30;2;2;7,9183;7;0,666666667;1
20000;134500;472585;11;2;2;7,9183;10;1;0
10000;145841;41640;31;3;4;2,0647;9;0,285714286;1
5000;682710;99504;19;3;4;2,0647;7;0,222222222;1
10000;316689;33350;25;3;4;2,0647;8;0,857142857;1
5000;24200;18146;7;3;4;2,0647;6;0,333333333;0
10000;218202;10950;21;3;4;2,0647;9;0,2;0
20000;1114532;213684;17;3;4;2,0647;10;0,333333333;0
10000;301700;158500;16;3;4;2,0647;7;1;1
20000;12993651;1547469;28;2;2;7,9183;10;0,714285714;1
10000;172554;-29658;29;2;2;7,9183;9;0,333333333;1
20000;1732293;529134;30;2;2;7,9183;9;0,444444444;1
5000;50928;33853;29;2;2;7,9183;9;0;0
2000;7135;1547;24;2;2;7,9183;7;0;0
20000;4369768;633039;31;2;2;7,9183;10;0,555555556;1
20000;1370395;130315;21;2;2;7,9183;10;0;0
20000;2636620;1285000;11;2;2;7,9183;9;0,230769231;0
20000;416549;260138;28;2;2;7,9183;9;0,5;1
2000;23933;-21000;31;2;2;7,9183;7;0,5;1
20000;1159979;237088;29;2;2;7,9183;10;0,5;0
2000;51665;-5405;19;2;2;7,9183;8;0;0
2000;4427;8800;25;2;2;7,9183;7;0,333333333;0
20000;335310;99925;26;2;2;7,9183;10;0,5;0
20000;505274;109502;31;2;2;7,9183;10;0;0
20000;259240;494117;12;2;2;7,9183;9;0,5;1
20000;128650;166900;3;2;2;7,9183;8;0,333333333;1
5000;28619;17000;30;2;2;7,9183;6;0;0
5000;172500;-780;31;2;2;7,9183;7;0,666666667;1
5000;46535;64000;21;2;2;7,9183;8;0,7;0
10000;957122;208123;27;2;2;7,9183;10;0,571428571;1
10000;124592;47501;20;3;4;2,0647;8;1;1
5000;104530;-24654;23;3;4;2,0647;8;0,25;0
5000;240001;-23879;31;3;4;2,0647;9;0,4;0
10000;148224;59511;31;3;4;2,0647;9;0,5;0
10000;143860;35300;31;3;4;2,0647;9;0,571428571;0
20000;304499;19964;31;3;4;2,0647;10;0,875;1
5000;107987;74501;29;3;4;2,0647;8;0,75;1
20000;81000;206500;9;3;4;2,0647;9;0,5;0
20000;4080500;11635;10;3;4;2,0647;9;0,25;0
20000;555802;535109;30;2;2;7,9183;10;0,875;1
5000;178653;39198;19;2;2;7,9183;8;0,25;0
20000;3691300;1517909;14;3;4;2,0647;9;0,111111111;0
20000;427892;-235301;12;3;4;2,0647;9;0,714285714;1
10000;45683;80500;9;3;4;2,0647;8;0,333333333;0
20000;4795653;1679634;8;3;4;2,0647;8;0,1;0
20000;449300;31000;22;3;4;2,0647;10;0,666666667;1
10000;82852;92000;30;3;4;2,0647;9;0,666666667;1
20000;2376298;571838;30;3;4;2,0647;10;0,181818182;0
20000;114859;139001;21;3;4;2,0647;10;0,466666667;0
10000;94806;110999;24;3;4;2,0647;10;0,142857143;0
10000;83492;50643;31;3;4;2,0647;9;0,333333333;0
20000;2332339;228665;30;3;4;2,0647;10;0,888888889;1
20000;658671;12424;20;3;4;2,0647;10;0,333333333;1
10000;24837;78837;16;3;4;8,3843;9;0,8;1
20000;792702;185932;21;3;4;8,3843;10;0,75;1
10000;435432;58404;31;3;4;8,3843;10;0;0
5000;67524;39149;23;3;4;8,3843;7;0,666666667;1
10000;37490;72881;16;3;4;8,3843;9;0,375;0
5000;75297;21619;31;3;4;8,3843;9;0,909090909;1
5000;441236;-11022;23;3;4;2,0647;8;0,666666667;1
20000;2917338;652013;24;3;4;2,0647;10;0,454545455;0
10000;537114;113223;29;3;4;8,3843;8;0,444444444;1
2000;60918;57001;22;3;4;8,3843;6;0;0
2000;42030;4602;22;3;4;8,3843;7;0;0
5000;39261;62001;22;3;4;8,3843;7;1;1
2000;23263;-21709;28;3;4;8,3843;6;0,125;0
10000;96160;33877;25;3;4;8,3843;7;0;0
20000;208797;182900;16;3;4;8,3843;10;0,636363636;0
2000;26755;10678;21;3;4;8,3843;7;0,2;1
5000;24350;40862;25;3;4;8,3843;7;1;1
2000;33749;23599;20;3;4;8,3843;7;0,5;0
2000;7630;16500;10;3;4;8,3843;6;0;0
5000;46201;-8225;17;3;4;8,3843;7;0,333333333;0
2000;153217;105500;28;3;4;8,3843;9;0,875;1
20000;600675;214978;20;3;4;8,3843;9;0,714285714;0
10000;386584;409735;26;3;4;8,3843;8;0,076923077;0
20000;341641;81102;31;3;4;8,3843;10;0;0
5000;70919;-2448;30;3;4;8,3843;6;1;1
10000;46267;71859;25;3;4;8,3843;10;0;0
10000;29290;36290;23;3;4;8,3843;9;0,833333333;1
10000;105130;54710;23;3;4;2,0647;9;0,3;0
10000;3600;6600;22;3;4;2,0647;9;0,166666667;0
10000;54290;265550;15;3;4;2,0647;8;0,5;0
10000;37409;11782;16;3;4;2,0647;9;0,4;0
20000;286791;214088;21;3;4;2,0647;10;0,8;1
20000;120000;120000;3;3;4;2,0647;8;0,8;0
2000;18570;6920;8;3;4;8,3843;6;0,6;1
20000;163066;91295;31;3;4;8,3843;10;0,133333333;0
5000;541220;-31719;27;3;4;8,3843;8;0,5;1
20000;29188;7080;7;3;4;8,3843;9;0,666666667;1
20000;2757118;119065;31;3;4;8,3843;10;1;1
5000;104593;97018;26;3;4;8,3843;7;0,666666667;1
5000;253374;8350;14;3;4;8,3843;8;0,285714286;1
5000;24600;-9925;10;3;4;8,3843;7;0;0
10000;104981;124000;21;3;4;8,3843;8;0,5;1
5000;14848;20356;23;3;4;8,3843;8;1;1
5000;10402;4000;6;3;4;8,3843;9;1;1
20000;752927;456465;25;3;4;8,3843;9;0,857142857;1
20000;6324210;-39975;15;3;4;8,3843;9;0,111111111;1
20000;2295334;78074;31;3;4;8,3843;10;1;1
10000;24326;27248;20;3;4;8,3843;9;0,166666667;0
20000;268621;11654;24;3;4;8,3843;10;0,8;1
20000;178628;21801;17;3;4;8,3843;10;0,857142857;1
10000;25300;57500;19;3;4;8,3843;9;0;0
5000;15606;28725;22;3;4;8,3843;8;0,142857143;0
10000;66080;33474;6;3;4;8,3843;8;0,4;1
2000;13669;-9664;24;3;4;8,3843;6;1;1
2000;107818;-53500;22;3;4;8,3843;8;0,666666667;0
2000;56703;31001;21;3;4;8,3843;6;0;0
20000;2051848;32702;10;3;4;8,3843;8;0,090909091;0
2000;23134;7900;17;3;4;8,3843;6;1;1
5000;136510;-9500;29;3;4;8,3843;8;0,142857143;0
2000;67020;9999;25;3;4;8,3843;8;0;0
20000;100000;130000;8;3;4;8,3843;9;0,466666667;1
2000;22122;3001;10;3;4;8,3843;5;0;0
2000;8330;-1750;7;3;4;8,3843;7;0;0
2000;7400;7000;19;3;4;8,3843;6;0;0
2000;44675;41013;16;3;4;8,3843;7;0,166666667;1
10000;68715;68502;23;3;4;8,3843;9;0,071428571;0
2000;34516;-25000;12;3;4;8,3843;6;0,2;0
5000;21133;15254;24;3;4;8,3843;7;0,4;0
5000;27884;19600;31;3;4;8,3843;7;0;0
5000;15500;36658;24;3;4;8,3843;7;0;0
20000;382161;113971;12;3;4;8,3843;9;0,888888889;1
5000;19971;3007;13;3;4;8,3843;8;1;1
5000;104916;-41383;17;3;4;8,3843;7;0,4;1
20000;1202678;76152;31;3;4;8,3843;10;0;0
5000;24452;16174;28;3;4;8,3843;7;0,111111111;0
2000;30000;3351;20;3;4;8,3843;6;1;1
10000;44400;47921;7;3;4;8,3843;8;0,333333333;0
2000;520490;29311;31;3;4;8,3843;8;1;1
20000;1496381;275005;25;3;4;8,3843;10;1;1
5000;81150;29400;8;3;4;8,3843;6;0;0
10000;186688;92654;26;3;4;8,3843;8;1;1
10000;1696283;86549;14;3;4;8,3843;8;0;0
2000;6830;1643;18;3;4;8,3843;7;0,2;0
2000;153900;43571;21;3;4;8,3843;7;0;0
10000;178010;-39950;10;3;4;8,3843;9;0,166666667;0
20000;157000;582246;10;3;4;8,3843;9;1;1
2000;34850;7692;30;3;4;8,3843;7;0,666666667;0
20000;362786;186500;12;3;4;8,3843;7;0,428571429;0
10000;1070000;198565;22;3;4;8,3843;7;0;0
2000;81598;2157;8;3;4;8,3843;6;0,428571429;1
2000;23914;9069;23;3;4;8,3843;7;0,6;0
2000;14792;20697;17;3;4;8,3843;6;0,666666667;1
2000;42370;1487;18;3;4;8,3843;7;0,6;0
20000;276404;107001;28;3;4;8,3843;10;0,538461538;0
5000;9081;10100;25;3;4;8,3843;7;0,333333333;0
5000;21002;13267;23;3;4;8,3843;6;1;1
2000;27626;16478;22;3;4;8,3843;6;0;0
5000;55053;42474;31;3;4;8,3843;6;1;1
5000;146020;59141;19;3;4;8,3843;7;0,375;1
2000;18227;1000;13;3;4;8,3843;6;0;0
2000;30000;63500;30;3;4;8,3843;7;0,333333333;1
10000;172703;85735;27;3;4;8,3843;8;0,5;0
2000;14225;11174;29;3;4;8,3843;7;0,6;0
10000;100075;77781;17;3;4;8,3843;9;1;1
5000;47940;-11361;16;3;4;8,3843;7;0,6;1
10000;108626;131500;25;3;4;8,3843;8;0,5;1
5000;199250;121225;24;3;4;8,3843;6;0,666666667;1
2000;35300;9316;22;3;4;8,3843;6;0,142857143;0
10000;238177;87800;11;3;4;8,3843;8;0;0
10000;49022;-4786;31;3;4;8,3843;9;0,4;0
2000;52835;-17690;24;3;4;8,3843;9;0,583333333;1
20000;224200;222701;23;3;4;8,3843;9;0,25;0
5000;27266;10143;23;3;4;8,3843;9;0,333333333;0
20000;247300;95853;26;3;4;8,3843;10;0,7;0
10000;104034;27722;31;3;4;8,3843;9;0,285714286;1
2000;14674;4479;18;3;4;8,3843;6;0;0
10000;67127;-27739;31;3;4;8,3843;9;1;1
20000;2183340;1095001;6;3;4;8,3843;8;0,666666667;1
2000;37417;20001;14;3;4;8,3843;5;0,25;1
5000;151479;142500;16;3;4;8,3843;7;1;1
10000;483423;78501;5;3;4;8,3843;8;0,25;0
20000;60691;81401;13;3;4;8,3843;9;0,25;0
10000;135260;18502;30;3;4;8,3843;8;0;0
5000;43204;3995;27;3;4;8,3843;6;0;0
20000;819000;369850;6;3;4;8,3843;9;0,666666667;1
2000;10500;27500;18;3;4;8,3843;7;1;1
20000;156892;309571;23;3;4;8,3843;10;0,571428571;0
20000;347681;308213;22;3;4;8,3843;10;0,9;1
5000;22000;85000;19;3;4;8,3843;6;0,333333333;1
2000;12121;-202;19;3;4;8,3843;6;0;0
20000;1020261;39827;21;3;4;8,3843;9;0,454545455;0
2000;9474;6839;31;3;4;8,3843;7;0;0
5000;34235;78220;20;3;4;8,3843;9;0,6;1
5000;10992;10992;5;3;4;8,3843;6;0,333333333;0
2000;30500;-2968;27;3;4;8,3843;8;1;1
2000;30700;-1780;23;3;4;8,3843;7;0;0
2000;8864;9212;22;3;4;8,3843;6;0,666666667;1
20000;826167;1024792;28;3;4;8,3843;9;0,625;1
10000;143668;39001;14;3;4;8,3843;7;0,428571429;1
5000;20931;15020;12;3;4;8,3843;6;0,6;1
2000;20100;11740;30;3;4;8,3843;7;0;0
10000;396501;403004;9;3;4;8,3843;8;0,125;1
20000;324429;36426;22;3;4;8,3843;10;0,857142857;1
20000;335458;255000;9;3;4;8,3843;9;0,333333333;1
10000;138916;145024;12;3;4;8,3843;8;1;1
5000;26000;59260;17;3;4;8,3843;7;0,25;1
2000;118282;51423;24;3;4;8,3843;7;0,5;1
5000;38900;78410;15;3;4;8,3843;6;0;0
20000;689150;996677;19;3;4;8,3843;8;0;0
2000;108000;16769;31;3;4;8,3843;6;0;0
5000;56600;33846;27;3;4;8,3843;10;1;1
20000;25706;146158;16;3;4;8,3843;9;0,833333333;1
20000;2236460;982440;15;3;4;8,3843;10;0,666666667;1
2000;7900;19600;30;3;4;8,3843;7;0,333333333;0
2000;73122;19019;16;3;4;8,3843;7;0,5;1
2000;41500;-24356;21;3;4;8,3843;6;0,333333333;0
20000;143242;233969;24;3;4;8,3843;10;0;0
20000;48099;46000;11;3;4;8,3843;9;0,666666667;1
5000;44603;88900;31;3;4;8,3843;7;0,166666667;1
2000;12364;25625;19;3;4;8,3843;6;0;0
20000;185656;255708;29;3;4;8,3843;10;0,888888889;1
2000;6100;14999;16;3;4;8,3843;6;0;0
10000;166707;21817;29;3;4;8,3843;9;0,666666667;0
10000;173408;71203;31;3;4;8,3843;9;0,833333333;1
10000;20450;31030;12;3;4;8,3843;8;0,2;0
20000;491398;226000;26;3;4;8,3843;10;0,5;1
5000;116118;273284;28;3;4;8,3843;7;0;0
5000;173820;79995;23;3;4;8,3843;10;0,777777778;1
1000;63166;-11851;24;3;4;8,3843;8;0,285714286;0
10000;674271;712858;30;3;4;8,3843;10;0,666666667;1
2500;9750;22760;8;3;4;8,3843;7;0,6;1
2500;64449;31959;9;3;4;8,3843;9;0,333333333;0
1000;6887;11943;23;3;4;8,3843;7;1;1
20000;4300790;1604245;30;3;4;8,3843;10;1;1
2000;30917;10855;27;3;4;8,3843;6;0;0
5000;115325;83485;14;3;4;8,3843;7;0,5;0
5000;129151;11468;29;3;4;8,3843;8;0,5;1
5000;22938;12581;11;3;4;8,3843;9;0,4;1
2000;22031;11500;12;3;4;8,3843;5;0,25;0
20000;476015;238165;29;3;4;8,3843;10;0,5;1
2500;31696;-955;6;3;4;8,3843;8;0;0
10000;9598250;210333;15;3;4;8,3843;10;0,583333333;1
5000;217171;82000;29;3;4;8,3843;10;0,5;1
10000;330000;330000;9;3;4;8,3843;9;0,6;0
1000;18000;-8784;8;3;4;8,3843;6;0,5;1
5000;11610;19397;17;3;4;8,3843;6;0;0
10000;364952;87080;5;3;4;8,3843;9;0;0
2000;5750;7500;20;3;4;8,3843;6;0,25;0
20000;532789;238669;26;3;4;8,3843;10;0,8;1
2000;10824;9934;23;3;4;8,3843;6;0;0
20000;86614;24885;21;3;4;8,3843;10;0,153846154;0
10000;2331436;-94998;5;3;4;8,3843;9;0,5;0
1000;31608;10337;30;3;4;8,3843;8;0,25;1
10000;243933;269922;22;3;4;8,3843;9;0,5;0
10000;310263;215255;30;3;4;8,3843;10;0,3;0
1000;14500;28695;16;3;4;8,3843;6;0;0
1000;12782;6180;16;3;4;8,3843;6;0;0
10000;456114;510184;31;3;4;8,3843;10;1;1
10000;167000;87500;11;3;4;8,3843;9;0,333333333;1
10000;28823;77580;16;3;4;8,3843;10;0,5;0
10000;1527195;226040;23;3;4;8,3843;10;0,75;1
10000;57480;80000;16;3;4;8,3843;8;0,5;0
5000;185883;141569;31;3;4;8,3843;10;0;0
2000;8000;9000;6;4;4;7,5713;5;0;0
10000;133471;36657;16;4;4;7,5713;9;0;0
10000;117323;76878;29;4;4;7,5713;9;0,571428571;1
2000;15396;18704;20;4;4;7,5713;6;0;0
10000;235400;40470;7;4;4;7,5713;9;0,833333333;1
20000;294808;278001;13;4;4;7,5713;8;0,4;0
2000;41475;55434;26;2;4;7,5713;8;0;0
20000;346266;175600;6;2;4;7,5713;9;0;0
10000;110948;57420;15;4;4;7,5713;6;0,166666667;0
20000;873676;94205;31;4;4;7,5713;10;1;1
20000;575512;36721;31;4;4;7,5713;10;0;0
20000;40718;49710;7;2;4;7,5713;9;0,25;0
5000;19900;32400;15;2;4;7,5713;9;0;0
20000;1049800;414991;22;2;4;7,5713;10;0,25;0
5000;15473;30754;29;4;4;7,5713;7;0,4;1
20000;284121;63730;18;2;4;7,5713;10;0,25;0
20000;284662;120650;29;2;4;7,5713;10;0,166666667;0
5000;60268;66876;23;2;4;7,5713;9;1;1
10000;94726;16813;11;2;4;7,5713;8;0,4;1
10000;115872;152855;11;4;4;7,5713;7;0;0
20000;686800;-116093;30;2;4;7,5713;10;1;1
20000;726367;251858;28;2;4;7,5713;10;0,857142857;1
20000;7546060;51585;15;4;4;7,5713;10;0,6;0
2000;7262;5400;9;4;4;7,5713;7;0;0
2000;59490;21101;23;4;4;7,5713;9;0,833333333;1
20000;480619;203151;30;4;4;7,5713;10;0,666666667;1
2000;5000;6200;9;4;4;7,5713;5;0;0
10000;249337;77400;23;4;4;7,5713;8;0,625;1
20000;1194547;1611068;30;4;4;7,5713;10;0,4;1
10000;2172878;22007;28;4;4;7,5713;8;0,6;1
10000;662075;28635;14;4;4;7,5713;8;0;0
20000;1668215;134000;14;4;4;7,5713;10;0,588235294;0
10000;38000;54000;16;4;4;7,5713;7;0;0
2000;35582;828;30;4;4;7,5713;7;0,333333333;0
2000;19100;29800;21;4;4;7,5713;6;0,666666667;1
2000;56074;66548;9;2;4;7,5713;10;0,692307692;1
2000;224334;112829;31;2;4;7,5713;7;0,5;0
2000;82801;40685;23;2;4;7,5713;8;0;0
2000;33877;447;31;2;4;7,5713;8;1;1
20000;71065886;6577706;31;2;4;7,5713;10;0,714285714;1
20000;954120;274502;30;2;4;7,5713;10;1;1
20000;2313992;-183696;29;2;4;7,5713;9;0,166666667;0
20000;1744810;1917362;24;2;4;7,5713;9;0,416666667;1
2000;3900;3900;6;4;4;7,5713;7;0,333333333;0
2000;56237;10716;19;4;4;7,5713;5;0,5;1
20000;348656;-174153;20;4;4;7,5713;10;0;0
5000;37000;-15700;8;2;4;7,5713;6;0,333333333;1
10000;42566;41950;24;4;4;7,5713;6;0;0
2000;98000;21393;17;4;4;7,5713;6;0,2;0
5000;40586;-3831;29;4;4;7,5713;10;0,888888889;1
5000;93775;18118;7;4;4;7,5713;8;0,75;1
10000;37972;1180;9;4;4;7,5713;7;0,333333333;0
10000;343881;118569;24;4;4;7,5713;9;0,8;1
10000;20156;16844;29;4;4;7,5713;8;0;0
2000;33063;6486;31;4;4;7,5713;7;0;0
20000;1462413;854050;8;4;4;7,5713;5;0;0
20000;13141;15140;11;4;4;7,5713;9;0,222222222;0
10000;452319;164713;31;4;4;7,5713;9;0,125;0
20000;52400;84808;22;4;4;7,5713;8;0;0
5000;18881;15641;19;4;4;7,5713;9;0;0
2000;9536;13827;16;4;4;7,5713;7;0;0
2000;43412;-28365;27;2;4;7,5713;5;0,285714286;1
5000;345230;-10498;29;2;4;7,5713;7;0,75;0
10000;181355;-5201;12;2;4;7,5713;10;0,25;1
20000;188488;-60500;11;2;4;7,5713;10;0,5;1
2000;102239;26002;31;4;4;7,5713;7;0,25;0
10000;25543;51132;30;4;4;7,5713;9;0,333333333;0
5000;59908;42608;13;2;4;7,5713;5;0;0
20000;213239;120999;18;4;4;7,5713;9;0,4;0
20000;104680;251960;19;4;4;7,5713;10;0,333333333;0
10000;159612;46247;26;4;4;7,5713;9;0,833333333;1
2000;34140;39780;29;4;4;7,5713;6;0;0
20000;627963;389751;15;4;4;7,5713;10;0,5;1
